Timestamp,Asal daerah Ibu/Bunda ,Seberapa sering Ibu/Bunda membeli kerudung baru? ,Biasanya Ibu/Bunda membeli kerudung di mana? ,"Saat membeli kerudung, hal apa yang paling penting bagi Ibu/Bunda?",Masalah apa yang paling sering Ibu/Bunda rasakan saat memakai kerudung? ,Apakah Ibu/Bunda pernah merasa kurang nyaman karena kerudung terasa bau atau tidak segar? ,"Jika ada kerudung dengan aroma wangi lembut dan segar, apakah Ibu/Bunda tertarik? ","Menurut Ibu/Bunda, manfaat utama kerudung wangi adalah apa? ",Aroma seperti apa yang paling Ibu/Bunda sukai untuk kerudung? ,Kekhawatiran terbesar Ibu/Bunda terhadap kerudung wangi adalah apa? ,Biasanya Ibu/Bunda membeli kerudung dengan harga berapa? ,"Jika kerudung wangi dijual dengan kualitas bahan yang nyaman, berapa harga yang masih cocok menurut Ibu/Bunda? ","Jika produk ini tersedia, seberapa besar kemungkinan Ibu/Bunda ingin mencoba membelinya? "
26/04/2026 17:27:11,Banten,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus","Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut",Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Di atas Rp300.000,Di atas Rp300.000,Sangat mungkin
26/04/2026 17:42:53,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,"Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
26/04/2026 17:47:44,Jawa Barat,Sebulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma herbal / natural,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 17:47:44,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Warna / model bagus,Susah dibentuk,Tidak pernah,Biasa saja,Tidak merasa ada manfaat khusus,Tidak suka kerudung beraroma,Tidak ada kekhawatiran,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 17:48:05,Jawa Barat,2–3 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah lepek, Kerudung mudah kusut",Kadang-kadang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma herbal / natural,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 17:49:50,Jawa Barat,Sebulan sekali,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:04:50,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman",Kerudung mudah kusut,Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 18:06:55,Jawa Barat,Sebulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus",Susah dibentuk,Tidak pernah,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bedak bayi,Takut wanginya terlalu menyengat,Rp200.000 – Rp300.000,Rp200.000 – Rp300.000,Sangat mungkin
26/04/2026 18:08:04,Banten,Sebulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk",Susah dibentuk,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:09:35,Jawa Barat,Sebulan sekali,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Tidak ada masalah,Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma buah segar,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
